Date,Name substring,Email split,Number Pow,Grade equal
2013-04-25,Angela Smith,piercejamie@example.org,408,B
2022-03-18,Willie Thompson,barbara00@example.com,668,B
2018-11-04,Rodney Brown,amitchell@example.com,373,D
2017-02-02,Anna Sullivan,nschneider@example.com,8,A
2019-04-19,Pamela Allen DDS,robertsjacqueline@example.org,122,B
2010-04-24,Gabrielle Velez,nicole61@example.com,348,D
2019-06-18,Christopher Sanford,wanda59@example.com,676,A
2014-02-13,Brandi Lawrence,zwilson@example.net,90,C
2019-11-25,Samantha Flores,juanmeadows@example.net,648,C
2013-12-22,Rebecca Lee,vcalderon@example.com,698,D
2012-09-07,Lori Mcmillan,kathleenchandler@example.net,316,C
2010-04-12,Maureen Gutierrez,tony01@example.net,178,A
2013-12-01,William Oneal,fowlermark@example.net,540,D
2012-08-04,Brian Watson,kellydaniel@example.org,732,D
2014-08-09,Tamara Jennings,astone@example.net,869,A
2021-04-17,Joshua Jackson,millsmichael@example.net,41,D
2013-08-13,Donna Young,shane70@example.org,740,A
2011-01-29,Deanna Guerrero,vanessa61@example.org,704,A
2010-07-24,Eddie Fisher,xgarner@example.net,923,D
2019-11-28,Nancy Welch,morganmelinda@example.net,502,B
2018-07-26,Travis Sparks,gutierrezbrittany@example.org,959,C
2018-03-08,Timothy Hill,davidperez@example.org,145,C
2014-01-27,Jeffrey Chapman,jill57@example.org,201,A
2013-12-05,Todd Patel,rhenderson@example.org,929,D
2014-09-20,Ashley Williams,ysanchez@example.net,724,B
2014-12-19,Dennis Johnson,joeanderson@example.org,461,D
2019-03-13,Desiree Mckinney,yperez@example.org,732,B
2010-12-22,Sally Smith,harrisonlindsey@example.com,752,C
2015-08-26,Denise Johnson MD,brycematthews@example.com,925,D
2021-10-11,Joel Jennings,caitlin12@example.org,909,B
2018-10-06,Patrick Hicks,coffeykatherine@example.org,558,D
2014-12-11,Kerry Snyder,arangel@example.net,547,D
2021-11-20,Ashley Nelson,richardskeith@example.org,253,D
2011-07-03,Derrick Ramos,richardjessica@example.com,390,B
2018-08-16,Anthony Kaiser,schwartzjames@example.net,594,A
2022-09-25,Tyler Keller,duane95@example.net,883,B
2013-12-01,Kelly Ayers,watsonchristopher@example.org,256,C
2015-01-12,Ryan Johnson,thomasjoshua@example.org,709,D
2014-08-18,Sara Williams,danielle58@example.com,815,C
2013-11-11,Shane Keller,nbarron@example.net,921,A
2015-01-05,Natalie Martinez,karen32@example.org,450,C
2013-06-21,Angelica Leach,smithpaul@example.com,10,C
2010-03-27,Shawn Hammond,rodriguezjeffrey@example.net,824,C
2017-10-31,David George,charles27@example.com,798,D
2010-03-11,Leslie Pruitt,natasha52@example.net,242,C
2019-03-02,Laura Stevens,allison71@example.com,251,D
